registro_id,calle,altura,ciudad,barrio,latitud,longitud,distancia_corralon_km,direccion_osm,clave_direccion_fuente,frecuencia_direccion_fuente,estado_calidad,motivo_revision
DG-0307,Calle 6,26,Granadero Baigorria,Los Robles,-32.8467597,-60.7080448,1.398263,"Crucero General Belgrano, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",calle 6|26|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0308,Los Olivos,3251,Granadero Baigorria,Santa Rita,-32.8388398,-60.7038306,2.120660,"3251, Los Olivos, Santa Rita, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",los olivos|3251|granadero baigorria,3,APTO_ENTRENAMIENTO,
DG-0309,Italia,2040,Rosario,Abasto,-32.9594528,-60.6516524,13.907342,"2040, Italia, Paseo Pellegrini, Abasto, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, 2000, Argentina",italia|2040|rosario,1,APTO_ENTRENAMIENTO,
DG-0310,Almafuerte,1342,Granadero Baigorria,Los Pinos,-32.8521082,-60.7033183,1.829247,"Almafuerte, Los Pinos, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",almafuerte|1342|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0311,Díaz Vélez,1153,Granadero Baigorria,San Miguel,-32.8590072,-60.7220801,1.058441,"1153, Díaz Vélez bis, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",diaz velez|1153|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0312,Jorge Newbery,1314,Granadero Baigorria,No especificado,-32.8564531,-60.7245748,0.793653,"1314, Jorge Newbery, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",jorge newbery|1314|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0313,Calle 11,2247,Granadero Baigorria,Los Robles,-32.8502273,-60.7115065,1.044374,"2247, Calle 11, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",calle 11|2247|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0314,Dr. Agote,2570,Granadero Baigorria,No especificado,-32.8485035,-60.7216418,0.145656,"Luis Agote, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",dr. agote|2570|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0315,Santa Fe,1374,Granadero Baigorria,San Miguel,-32.8618045,-60.7110441,1.745750,"Avenida Santa Fe, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",santa fe|1374|granadero baigorria,2,APTO_ENTRENAMIENTO,
DG-0316,Moreno,3590,Granadero Baigorria,Centro,-32.8633748,-60.7052683,2.239862,"Moreno, Centro, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",moreno|3590|granadero baigorria,2,APTO_ENTRENAMIENTO,
DG-0317,Namuncurá,796,Granadero Baigorria,No especificado,-32.8547775,-60.7160950,0.848273,"Namuncurá, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",namuncura|796|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0318,Baterías,1074,Rosario,Jorge Cura,-32.9644924,-60.6616817,13.996184,"Brachetta Baterías, 2427, Bulevar 27 de Febrero, Jorge Cura, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina",baterias|1074|rosario,1,APTO_ENTRENAMIENTO,
DG-0319,Calle 6,2343,Granadero Baigorria,Los Robles,-32.8479660,-60.7076024,1.416278,"2343, Crucero General Belgrano, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",calle 6|2343|granadero baigorria,1,APTO_ENTRENAMIENTO,
