version_cache,lat_origen,lon_origen,lat_destino,lon_destino,distancia_metros,tiempo_base_min,fuente_distancia,fuente_tiempo
pedemonte-vial-v1,-32.878500,-60.693800,-32.884300,-60.721600,4404.483000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.878500,-60.693800,-32.893000,-60.735200,6257.062000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.884300,-60.721600,-32.815600,-60.742100,10353.191000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.884300,-60.721600,-32.824800,-60.736900,10113.226000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.884300,-60.721600,-32.829200,-60.701800,8943.973000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.884300,-60.721600,-32.835700,-60.728600,9192.467000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.884300,-60.721600,-32.842900,-60.711500,7239.162000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.884300,-60.721600,-32.849501,-60.722653,7604.203000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.884300,-60.721600,-32.849900,-60.687500,7736.873000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.884300,-60.721600,-32.856200,-60.716800,4178.911000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
